001  00233 |Loss: 2.119 | Train_acc: 21.493% 
001  00234 |Loss: 2.118 | Train_acc: 21.561% 
001  00235 |Loss: 2.117 | Train_acc: 21.602% 
001  00236 |Loss: 2.117 | Train_acc: 21.604% 
001  00237 |Loss: 2.116 | Train_acc: 21.618% 
001  00238 |Loss: 2.116 | Train_acc: 21.662% 
001  00239 |Loss: 2.115 | Train_acc: 21.702% 
001  00240 |Loss: 2.114 | Train_acc: 21.745% 
001  00241 |Loss: 2.114 | Train_acc: 21.742% 
001  00242 |Loss: 2.113 | Train_acc: 21.733% 
001  00243 |Loss: 2.113 | Train_acc: 21.766% 
001  00244 |Loss: 2.112 | Train_acc: 21.776% 
001  00245 |Loss: 2.112 | Train_acc: 21.783% 
001  00246 |Loss: 2.112 | Train_acc: 21.802% 
001  00247 |Loss: 2.111 | Train_acc: 21.815% 
001  00248 |Loss: 2.111 | Train_acc: 21.834% 
001  00249 |Loss: 2.110 | Train_acc: 21.862% 
001  00250 |Loss: 2.109 | Train_acc: 21.884% 
001  00251 |Loss: 2.108 | Train_acc: 21.906% 
001  00252 |Loss: 2.108 | Train_acc: 21.894% 
001  00253 |Loss: 2.107 | Train_acc: 21.924% 
001  00254 |Loss: 2.106 | Train_acc: 21.961% 
001  00255 |Loss: 2.106 | Train_acc: 21.988% 
001  00256 |Loss: 2.105 | Train_acc: 21.994% 
001  00257 |Loss: 2.104 | Train_acc: 21.997% 
001  00258 |Loss: 2.104 | Train_acc: 22.008% 
001  00259 |Loss: 2.103 | Train_acc: 22.050% 
001  00260 |Loss: 2.103 | Train_acc: 22.061% 
001  00261 |Loss: 2.102 | Train_acc: 22.064% 
001  00262 |Loss: 2.103 | Train_acc: 22.042% 
001  00263 |Loss: 2.102 | Train_acc: 22.050% 
001  00264 |Loss: 2.101 | Train_acc: 22.097% 
001  00265 |Loss: 2.101 | Train_acc: 22.114% 
001  00266 |Loss: 2.100 | Train_acc: 22.110% 
001  00267 |Loss: 2.100 | Train_acc: 22.135% 
001  00268 |Loss: 2.099 | Train_acc: 22.172% 
001  00269 |Loss: 2.099 | Train_acc: 22.197% 
001  00270 |Loss: 2.099 | Train_acc: 22.216% 
001  00271 |Loss: 2.098 | Train_acc: 22.238% 
001  00272 |Loss: 2.097 | Train_acc: 22.260% 
001  00273 |Loss: 2.097 | Train_acc: 22.293% 
001  00274 |Loss: 2.096 | Train_acc: 22.286% 
001  00275 |Loss: 2.096 | Train_acc: 22.281% 
001  00276 |Loss: 2.096 | Train_acc: 22.317% 
001  00277 |Loss: 2.095 | Train_acc: 22.335% 
001  00278 |Loss: 2.095 | Train_acc: 22.336% 
001  00279 |Loss: 2.095 | Train_acc: 22.340% 
001  00280 |Loss: 2.095 | Train_acc: 22.335% 
001  00281 |Loss: 2.094 | Train_acc: 22.359% 
001  00282 |Loss: 2.094 | Train_acc: 22.390% 
001  00283 |Loss: 2.093 | Train_acc: 22.386% 
001  00284 |Loss: 2.093 | Train_acc: 22.409% 
001  00285 |Loss: 2.092 | Train_acc: 22.421% 
001  00286 |Loss: 2.092 | Train_acc: 22.421% 
001  00287 |Loss: 2.091 | Train_acc: 22.455% 
001  00288 |Loss: 2.091 | Train_acc: 22.466% 
001  00289 |Loss: 2.090 | Train_acc: 22.491% 
001  00290 |Loss: 2.090 | Train_acc: 22.492% 
001  00291 |Loss: 2.089 | Train_acc: 22.519% 
001  00292 |Loss: 2.089 | Train_acc: 22.528% 
001  00293 |Loss: 2.088 | Train_acc: 22.542% 
001  00294 |Loss: 2.088 | Train_acc: 22.561% 
001  00295 |Loss: 2.087 | Train_acc: 22.601% 
001  00296 |Loss: 2.087 | Train_acc: 22.611% 
001  00297 |Loss: 2.086 | Train_acc: 22.627% 
001  00298 |Loss: 2.086 | Train_acc: 22.633% 
001  00299 |Loss: 2.086 | Train_acc: 22.641% 
001  00300 |Loss: 2.086 | Train_acc: 22.661% 
001  00301 |Loss: 2.085 | Train_acc: 22.672% 
001  00302 |Loss: 2.086 | Train_acc: 22.674% 
001  00303 |Loss: 2.085 | Train_acc: 22.698% 
001  00304 |Loss: 2.085 | Train_acc: 22.726% 
001  00305 |Loss: 2.085 | Train_acc: 22.728% 
001  00306 |Loss: 2.084 | Train_acc: 22.741% 
001  00307 |Loss: 2.084 | Train_acc: 22.761% 
001  00308 |Loss: 2.083 | Train_acc: 22.781% 
001  00309 |Loss: 2.083 | Train_acc: 22.793% 
001  00310 |Loss: 2.082 | Train_acc: 22.800% 
001  00311 |Loss: 2.082 | Train_acc: 22.812% 
001  00312 |Loss: 2.082 | Train_acc: 22.817% 
001  00313 |Loss: 2.081 | Train_acc: 22.809% 
001  00314 |Loss: 2.081 | Train_acc: 22.808% 
001  00315 |Loss: 2.080 | Train_acc: 22.822% 
001  00316 |Loss: 2.080 | Train_acc: 22.847% 
001  00317 |Loss: 2.079 | Train_acc: 22.863% 
001  00318 |Loss: 2.079 | Train_acc: 22.865% 
001  00319 |Loss: 2.079 | Train_acc: 22.879% 
001  00320 |Loss: 2.078 | Train_acc: 22.883% 
001  00321 |Loss: 2.078 | Train_acc: 22.892% 
001  00322 |Loss: 2.077 | Train_acc: 22.916% 
001  00323 |Loss: 2.077 | Train_acc: 22.925% 
001  00324 |Loss: 2.077 | Train_acc: 22.931% 
001  00325 |Loss: 2.076 | Train_acc: 22.945% 
001  00326 |Loss: 2.076 | Train_acc: 22.980% 
001  00327 |Loss: 2.075 | Train_acc: 23.007% 
001  00328 |Loss: 2.075 | Train_acc: 23.014% 
001  00329 |Loss: 2.074 | Train_acc: 23.039% 
001  00330 |Loss: 2.073 | Train_acc: 23.033% 
001  00331 |Loss: 2.073 | Train_acc: 23.055% 
001  00332 |Loss: 2.073 | Train_acc: 23.063% 
